"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","24","26","36","6","15.343168","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","24","18","28","2","10.989939","0","0"
"Globals","24","548","0","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","24","35","40","1","38.097183","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","24","860","965","1","1200.652954","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","24","187","187","1","322.533905","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","24","4","4","1","9.052144","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","24","14","14","1","13.990001","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","24","59","64","1","92.915985","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","24","4","4","1","2.987472","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","24","30","30","1","50.003956","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","24","2","2","1","3.946725","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","24","4","4","1","5.515766","0","0"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","24","150","255","1","109.470558","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","24","60","60","1","47.405804","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","24","4","4","1","2.152725","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","24","315","315","1","313.054810","0","0"
